Fra_dato;Til_dato;Mængde;Måleenhed;Kvalitet;Type
07-06-2024 12:00:00;07-06-2024 13:00:00;0,225;KWH;Målt;Tidsserie
07-06-2024 13:00:00;07-06-2024 14:00:00;0,164;KWH;Målt;Tidsserie
07-06-2024 14:00:00;07-06-2024 15:00:00;0,155;KWH;Målt;Tidsserie
07-06-2024 15:00:00;07-06-2024 16:00:00;0,173;KWH;Målt;Tidsserie
07-06-2024 16:00:00;07-06-2024 17:00:00;0,163;KWH;Målt;Tidsserie
07-06-2024 17:00:00;07-06-2024 18:00:00;0,556;KWH;Målt;Tidsserie
07-06-2024 18:00:00;07-06-2024 19:00:00;0,455;KWH;Målt;Tidsserie
07-06-2024 19:00:00;07-06-2024 20:00:00;0,804;KWH;Målt;Tidsserie
07-06-2024 20:00:00;07-06-2024 21:00:00;1,252;KWH;Målt;Tidsserie
07-06-2024 21:00:00;07-06-2024 22:00:00;1,01;KWH;Målt;Tidsserie
07-06-2024 22:00:00;07-06-2024 23:00:00;0,097;KWH;Målt;Tidsserie
07-06-2024 23:00:00;08-06-2024 00:00:00;0,118;KWH;Målt;Tidsserie
08-06-2024 00:00:00;08-06-2024 01:00:00;0,109;KWH;Målt;Tidsserie
08-06-2024 01:00:00;08-06-2024 02:00:00;0,085;KWH;Målt;Tidsserie
08-06-2024 02:00:00;08-06-2024 03:00:00;0,1;KWH;Målt;Tidsserie
08-06-2024 03:00:00;08-06-2024 04:00:00;0,125;KWH;Målt;Tidsserie
08-06-2024 04:00:00;08-06-2024 05:00:00;0,092;KWH;Målt;Tidsserie
08-06-2024 05:00:00;08-06-2024 06:00:00;0,093;KWH;Målt;Tidsserie
08-06-2024 06:00:00;08-06-2024 07:00:00;0,187;KWH;Målt;Tidsserie
08-06-2024 07:00:00;08-06-2024 08:00:00;0,361;KWH;Målt;Tidsserie
08-06-2024 08:00:00;08-06-2024 09:00:00;0,455;KWH;Målt;Tidsserie
08-06-2024 09:00:00;08-06-2024 10:00:00;0,463;KWH;Målt;Tidsserie
08-06-2024 10:00:00;08-06-2024 11:00:00;0,603;KWH;Målt;Tidsserie
08-06-2024 11:00:00;08-06-2024 12:00:00;0,18;KWH;Målt;Tidsserie
08-06-2024 12:00:00;08-06-2024 13:00:00;0,974;KWH;Målt;Tidsserie
08-06-2024 13:00:00;08-06-2024 14:00:00;0,322;KWH;Målt;Tidsserie
08-06-2024 14:00:00;08-06-2024 15:00:00;0,374;KWH;Målt;Tidsserie
08-06-2024 15:00:00;08-06-2024 16:00:00;0,245;KWH;Målt;Tidsserie
08-06-2024 16:00:00;08-06-2024 17:00:00;1,201;KWH;Målt;Tidsserie
08-06-2024 17:00:00;08-06-2024 18:00:00;4,641;KWH;Målt;Tidsserie
08-06-2024 18:00:00;08-06-2024 19:00:00;4,408;KWH;Målt;Tidsserie
08-06-2024 19:00:00;08-06-2024 20:00:00;3,859;KWH;Målt;Tidsserie
08-06-2024 20:00:00;08-06-2024 21:00:00;3,86;KWH;Målt;Tidsserie
08-06-2024 21:00:00;08-06-2024 22:00:00;3,951;KWH;Målt;Tidsserie
08-06-2024 22:00:00;08-06-2024 23:00:00;2,869;KWH;Målt;Tidsserie
08-06-2024 23:00:00;09-06-2024 00:00:00;0,106;KWH;Målt;Tidsserie
09-06-2024 00:00:00;09-06-2024 01:00:00;0,078;KWH;Målt;Tidsserie
09-06-2024 01:00:00;09-06-2024 02:00:00;0,07;KWH;Målt;Tidsserie
09-06-2024 02:00:00;09-06-2024 03:00:00;0,524;KWH;Målt;Tidsserie
09-06-2024 03:00:00;09-06-2024 04:00:00;0,698;KWH;Målt;Tidsserie
09-06-2024 04:00:00;09-06-2024 05:00:00;0,069;KWH;Målt;Tidsserie
09-06-2024 05:00:00;09-06-2024 06:00:00;0,078;KWH;Målt;Tidsserie
09-06-2024 06:00:00;09-06-2024 07:00:00;0,293;KWH;Målt;Tidsserie
09-06-2024 07:00:00;09-06-2024 08:00:00;1,078;KWH;Målt;Tidsserie
09-06-2024 08:00:00;09-06-2024 09:00:00;2,082;KWH;Målt;Tidsserie
